day,window_id,packet_rate,byte_rate,unique_dst_ips,unique_dst_ports,syn_ack_ratio,avg_pkt_size,dst_port_entropy,failed_conn_rate,fwd_psh_rate,avg_flow_duration,label_attack_now,attack_fraction,attack_family,mitre
monday,0,145583.18686718962,3747142.9868388535,51,51,0.256,161.93450832022282,3.8136406361152257,0.002,0.062,31268985.174,0,0.0,none,-
monday,1,60334.99372931205,1417863.6667525568,87,87,0.26704545454545453,186.07740935617122,3.2977135371688373,0.0,0.092,17679112.086,0,0.0,none,-
monday,2,65260.4071673762,1848337.2246030811,101,101,0.24666666666666667,153.78552763294,3.720110787222935,0.0,0.072,19775172.224,0,0.0,none,-
monday,3,74224.76233654786,1634219.8750304284,82,82,0.2727272727272727,150.0283575140048,3.43028859431578,0.0,0.07,49279276.65,0,0.0,none,-
monday,4,71975.37017622715,1392845.624265734,91,91,0.33774834437086093,188.498071476338,3.598969617613472,0.0,0.1,32353381.938,0,0.0,none,-
monday,5,67629.24585728162,1603306.7897054548,55,55,0.3246753246753247,188.5761279427886,3.130885144905076,0.0,0.098,30299435.656,0,0.0,none,-
monday,6,77359.19890309118,2304301.513085712,83,83,0.24836601307189543,150.59756685585302,3.2362001291978615,0.0,0.074,11708892.404,0,0.0,none,-
monday,7,83455.54098290965,1963888.9971541238,85,85,0.3825503355704698,172.24438507301517,2.977197715661071,0.0,0.112,10621861.258,0,0.0,none,-
monday,8,97480.71561005186,1381240.1019971606,100,100,0.17058823529411765,162.3696321421734,3.372236363318271,0.0,0.056,27912910.738,0,0.0,none,-
monday,9,68072.44148748687,1347206.7045483608,75,75,0.296,164.35222458792938,3.04565032135332,0.0,0.072,35490284.738,0,0.0,none,-
monday,10,58700.430673363655,1701222.954810185,71,71,0.21951219512195122,139.8465710767096,3.0674240574006184,0.0,0.07,15092793.448,0,0.0,none,-
monday,11,94563.62021676428,1724269.718657014,94,94,0.3427230046948357,119.21054323876359,3.244031618839731,0.0,0.144,25225985.6,0,0.0,none,-
monday,12,61852.43247606241,1570217.9619488548,74,74,0.2191780821917808,159.2390760716816,3.2447701134448343,0.002,0.062,27010153.532,0,0.0,none,-
