window_id,attack_family,y_forecast,packet_rate,byte_rate,unique_dst_ips,unique_dst_ports,syn_ack_ratio,avg_pkt_size,dst_port_entropy,failed_conn_rate,fwd_psh_rate,avg_flow_duration
0,none,0,62669.941035,1583002.101523,78,78,0.230769,581.316584,2.650612,0.0,0.058,2616619.334
1,none,0,3362.307448,203682.361437,3,3,0.294118,122.656061,0.972229,0.0,0.018,13725582.674
2,none,0,5558.435315,362505.779831,4,4,0.153846,136.670238,1.369248,0.0,0.014,12600539.334
3,none,0,99039.309485,1475983.659809,227,227,0.167763,124.245187,5.464426,0.0,0.1,8331545.478
4,none,0,9796.195147,397303.92465,5,5,0.131579,145.650241,1.552931,0.0,0.018,15061869.164
5,none,0,8916.949078,356262.241059,4,4,0.177083,283.188831,1.539686,0.0,0.032,11677172.97
6,none,0,23589.770752,554907.832958,83,83,0.242188,137.742053,2.711318,0.0,0.06,7701989.822
7,none,0,96364.734749,2660622.555436,207,207,0.166667,72.841828,5.593966,0.0,0.11,6887269.982
8,none,0,50239.942189,864756.477751,78,78,0.244755,104.878435,2.987841,0.0,0.068,18073209.292
9,none,0,13916.870279,620018.402129,15,15,0.416667,142.779533,1.441093,0.0,0.048,13992984.772
10,none,0,88226.546182,1138917.058743,176,176,0.204651,103.37858,4.487824,0.0,0.086,8900708.94
11,none,0,11864.423448,758193.862556,13,13,0.278846,177.350358,1.839227,0.0,0.056,13224014.106
12,none,0,55294.362725,1404134.101773,142,142,0.157407,85.845019,3.812469,0.0,0.066,9948697.132
13,none,0,68632.133553,1626235.520313,114,114,0.234637,105.584495,3.572726,0.0,0.082,10759052.428
14,none,0,16913.18865,598415.333051,31,31,0.36036,126.982633,1.914986,0.0,0.078,14974235.766
15,none,0,52316.912473,1169990.281984,68,68,0.358025,155.722762,2.674392,0.0,0.056,13890086.732
16,none,0,24596.185947,725540.294344,80,80,0.180952,143.029315,2.8696,0.0,0.036,19129535.416
17,none,0,32134.685947,660506.531468,62,62,0.137931,99.099856,2.493773,0.002,0.03,9702949.044
18,none,0,27388.078541,819554.953747,67,67,0.272727,136.244522,2.549514,0.0,0.064,13886037.18
19,none,0,51148.280916,942415.030293,106,106,0.135484,106.990106,3.215381,0.0,0.04,14373231.492
20,none,0,67168.314568,1603965.192484,144,144,0.182741,112.97627,3.972485,0.0,0.07,12889960.978
21,none,0,15890.213356,693063.53159,9,9,0.318182,149.61462,1.107903,0.0,0.026,12100375.634
22,none,0,24816.296827,630288.701682,74,74,0.130435,174.72218,2.885385,0.0,0.028,20300775.344
23,none,0,95914.721783,1575112.292181,98,98,0.309091,118.209264,3.094701,0.0,0.1,4058935.716
24,none,0,45998.406411,1533891.447466,113,113,0.173333,128.336251,3.497604,0.0,0.05,6349918.884
25,none,0,13506.446774,682685.141981,13,13,0.090909,133.18549,1.779815,0.0,0.008,9033139.716
26,none,0,102450.958248,2333519.206291,157,157,0.160194,90.732877,4.315725,0.004,0.064,3425715.67
27,none,0,43322.582502,1345792.604548,75,75,0.267123,127.301547,3.116372,0.0,0.076,11328272.578
28,none,0,20849.610943,558901.829104,39,39,0.068966,95.501452,1.86129,0.0,0.006,4680451.888
29,none,0,67820.153242,1534490.016089,100,100,0.134752,107.168426,3.523929,0.0,0.036,4767699.278
30,none,0,37516.497849,1281359.69904,45,45,0.203883,160.407901,2.697318,0.0,0.04,12674441.228
31,none,0,47353.722747,1255765.416835,107,107,0.191083,125.071046,3.504829,0.0,0.058,7438121.136
32,none,0,6192.498706,332663.89576,5,5,0.013333,124.421261,1.567608,0.0,0.0,13467090.878
33,none,0,42015.119234,1696618.473549,83,83,0.15493,136.490609,3.147695,0.0,0.042,7844996.788
34,none,0,30635.568492,1148337.820709,57,57,0.107527,76.368283,1.973649,0.0,0.018,2157106.47
35,none,0,26790.846848,953387.376276,36,36,0.184211,152.066759,2.453969,0.002,0.04,6711060.142
36,none,0,76746.530147,1563379.691273,126,126,0.339713,65.599065,3.71149,0.0,0.14,2999280.156
37,dos,1,30219.928076,1390236.797315,42,42,0.060976,257.737014,2.197201,0.0,0.018,3599789.888
38,dos,1,1545.770378,69806.923326,1,1,0.004444,797.605059,-0.0,0.0,0.0,2992568.112
39,dos,1,30.53741,41713.901187,1,1,0.004115,718.737648,-0.0,0.0,0.0,3313123.576
40,dos,1,139.237697,30685.583856,1,1,0.004717,940.554928,-0.0,0.0,0.0,13287607.294
41,dos,1,70.196956,99244.539036,1,1,0.004237,1154.833669,-0.0,0.0,0.0,34040144.74
42,dos,1,7039.932554,129910.66036,16,16,0.027027,812.594807,1.519098,0.0,0.006,29754207.002
43,none,0,8096.162081,753175.391336,10,10,0.135135,150.848752,1.550673,0.0,0.008,17678533.146
44,none,0,39549.298514,694377.42071,269,269,0.103093,230.469641,5.878941,0.002,0.058,17900911.028
45,dos,1,16642.347238,285568.685114,36,36,0.048193,744.611936,0.758176,0.0,0.022,2852632.072
46,dos,1,48.909217,66004.1156,1,1,0.00463,835.369192,-0.0,0.0,0.0,2753033.264
47,dos,1,550.330988,248452.376418,1,1,0.00495,892.501285,-0.0,0.0,0.0,4559900.49
48,dos,1,185.302284,27243.349962,1,1,0.004926,883.121002,-0.0,0.0,0.0,3832121.99
49,dos,1,12.379203,15194.681555,1,1,0.004525,815.869664,-0.0,0.0,0.0,3611118.798
50,dos,1,19.07101,26196.78106,1,1,0.004785,847.645668,-0.0,0.0,0.0,3298800.902
51,dos,1,49.767911,63462.550871,1,1,0.005,871.564561,-0.0,0.0,0.0,3142296.796
52,dos,1,59.100377,81599.603899,1,1,0.004651,842.483078,-0.0,0.0,0.0,3128034.694
53,dos,1,487.214375,76684.851271,1,1,0.004762,847.852581,-0.0,0.0,0.0,2609152.012
54,dos,1,18.852192,25504.961282,1,1,0.004608,830.819979,-0.0,0.0,0.0,2633559.724
55,dos,1,11.292166,14782.625488,1,1,0.003759,682.472223,-0.0,0.0,0.0,3607572.4
56,dos,1,26.843827,38027.66292,1,1,0.004237,1136.056505,-0.0,0.0,0.0,31408160.982
57,dos,1,43.242945,62672.611208,1,1,0.004484,1198.578865,-0.0,0.0,0.0,32177517.262
58,dos,1,46.964581,68525.344747,1,1,0.004785,1218.074267,-0.0,0.0,0.0,30160266.278
59,dos,1,18.09575,26529.514632,1,1,0.004975,1228.353269,-0.0,0.0,0.0,28808781.268
60,dos,1,9.378786,13721.35722,1,1,0.004739,1226.373966,-0.0,0.0,0.0,30187123.614
61,dos,1,14916.126438,669551.857899,17,17,0.031646,718.196834,1.17846,0.0,0.008,17017710.582
62,none,0,14436.014518,935087.229345,7,7,0.028986,94.130673,1.262089,0.0,0.002,2273346.5
63,none,0,4890.914524,256970.030429,233,233,0.088561,259.092064,5.422358,0.0,0.046,22647633.786
64,none,0,7.064106,5394.39497,498,498,0.167665,366.730514,8.957784,0.0,0.166,26421421.246
65,none,0,3.273988,2396.116403,493,493,0.171657,382.551475,8.937784,0.0,0.17,28835015.508
66,dos,1,22068.635942,257002.378107,317,317,0.093909,435.920762,6.357639,0.0,0.072,12609906.444
67,dos,1,822.896413,231736.219962,1,1,0.004762,853.696868,-0.0,0.0,0.0,2710449.266
68,dos,1,47.621209,65751.765756,1,1,0.004762,854.600388,-0.0,0.0,0.0,2915853.516
69,dos,1,27.825906,35371.091161,1,1,0.00463,833.471096,-0.0,0.0,0.0,2873708.894
70,dos,1,12.066856,16180.029708,1,1,0.004878,869.351497,-0.0,0.0,0.0,2865379.546
71,dos,1,8.846557,11732.002871,1,1,0.004219,762.815477,-0.0,0.0,0.0,3552237.714
72,dos,1,73.530753,441.184516,1,1,0.001996,7.3456,-0.0,0.0,0.0,5819909.72
73,dos,1,119.535041,80650.490845,1,1,0.001996,29.294203,-0.0,0.0,0.0,6022547.376
74,dos,1,8.078178,11070.022478,1,1,0.00304,788.517695,-0.0,0.0,0.0,22189128.638
75,dos,1,44.944039,64303.867635,1,1,0.005102,1236.093847,-0.0,0.0,0.0,28231976.2
76,dos,1,45.81727,65516.40381,1,1,0.004785,1201.83549,-0.0,0.0,0.0,30422173.55
77,dos,1,232.739034,75248.974996,1,1,0.005,1213.675797,-0.0,0.0,0.0,29068987.002
78,dos,1,12.360261,17552.250944,1,1,0.005051,1210.875739,-0.0,0.0,0.0,29066717.658
79,dos,1,10923.911973,246524.857241,31,31,0.048544,1009.533071,1.310245,0.0,0.018,26325799.236
80,none,0,12182.490521,357009.579473,6,6,0.244186,140.936221,1.528502,0.0,0.04,19125097.032
81,none,0,10502.602505,142034.656999,3,3,0.012195,125.477636,1.475929,0.0,0.0,15350781.71
82,none,0,3881.482584,351393.423307,133,133,0.188406,180.569011,3.145351,0.0,0.05,12438851.696
83,none,0,7.921879,4062.544373,493,493,0.223553,412.1311,8.937784,0.0,0.222,29964955.95
84,none,0,5.718059,6169.839067,491,491,0.165669,388.767361,8.929784,0.0,0.164,30043889.618
