,importance
syn_ack_ratio_ma12,0.10731207628453587
syn_ack_ratio_ma6,0.08290012231329337
packet_rate_ma6,0.08009604579039414
packet_rate_ma12,0.06094545361172737
packet_rate_ma3,0.05330585391343481
byte_rate_ma6,0.052228966805459846
unique_dst_ips_std12,0.04598884760749924
byte_rate_ma12,0.04559644777047549
avg_pkt_size_ma12,0.041970643076335294
avg_pkt_size_ma6,0.037579915300361776
packet_rate_std12,0.037469007718090225
byte_rate_ma3,0.03740692195827241
dst_port_entropy_std12,0.030164044591468972
unique_dst_ports_std12,0.0289208339687645
avg_pkt_size_ma3,0.023346081235975816
