window_id,packet_rate,byte_rate,unique_dst_ips,unique_dst_ports,syn_ack_ratio,avg_pkt_size,dst_port_entropy,failed_conn_rate,src_ip_flag,attack_type,label_attack_now,attack_fraction,packet_rate_ma3,packet_rate_std3,byte_rate_ma3,byte_rate_std3,unique_dst_ips_ma3,unique_dst_ips_std3,unique_dst_ports_ma3,unique_dst_ports_std3,syn_ack_ratio_ma3,syn_ack_ratio_std3,avg_pkt_size_ma3,avg_pkt_size_std3,dst_port_entropy_ma3,dst_port_entropy_std3,failed_conn_rate_ma3,failed_conn_rate_std3,portcount_slope3,entropy_slope3,packet_rate_ma6,packet_rate_std6,byte_rate_ma6,byte_rate_std6,unique_dst_ips_ma6,unique_dst_ips_std6,unique_dst_ports_ma6,unique_dst_ports_std6,syn_ack_ratio_ma6,syn_ack_ratio_std6,avg_pkt_size_ma6,avg_pkt_size_std6,dst_port_entropy_ma6,dst_port_entropy_std6,failed_conn_rate_ma6,failed_conn_rate_std6,portcount_slope6,entropy_slope6,packet_rate_ma12,packet_rate_std12,byte_rate_ma12,byte_rate_std12,unique_dst_ips_ma12,unique_dst_ips_std12,unique_dst_ports_ma12,unique_dst_ports_std12,syn_ack_ratio_ma12,syn_ack_ratio_std12,avg_pkt_size_ma12,avg_pkt_size_std12,dst_port_entropy_ma12,dst_port_entropy_std12,failed_conn_rate_ma12,failed_conn_rate_std12,portcount_slope12,entropy_slope12,y_forecast,windows_to_attack,intel_match,intel_confidence
0,62669.94103470395,1583002.1015229975,78,78,0.2307692307692307,581.3165838108999,2.6506117798563293,0.0,,none,0,0.0,62669.94103470395,0.0,1583002.1015229975,0.0,78.0,0.0,78.0,0.0,0.2307692307692307,0.0,581.3165838108999,0.0,2.6506117798563293,0.0,0.0,0.0,0.0,0.0,62669.94103470395,0.0,1583002.1015229975,0.0,78.0,0.0,78.0,0.0,0.2307692307692307,0.0,581.3165838108999,0.0,2.6506117798563293,0.0,0.0,0.0,0.0,0.0,62669.94103470395,0.0,1583002.1015229975,0.0,78.0,0.0,78.0,0.0,0.2307692307692307,0.0,581.3165838108999,0.0,2.6506117798563293,0.0,0.0,0.0,0.0,0.0,0,-1,0,0.0
1,3362.307448153212,203682.36143727624,3,3,0.2941176470588235,122.65606085102,0.9722286472546224,0.0,,none,0,0.0,33016.12424142858,41936.829885177074,893342.2314801369,975326.3416390797,40.5,53.033008588991066,40.5,53.033008588991066,0.2624434389140271,0.0447940947357994,351.98632233096,324.32196604749925,1.811420213555476,1.1867960944917875,0.0,0.0,0.0,0.0,33016.12424142858,41936.829885177074,893342.2314801369,975326.3416390797,40.5,53.033008588991066,40.5,53.033008588991066,0.2624434389140271,0.0447940947357994,351.98632233096,324.32196604749925,1.811420213555476,1.1867960944917875,0.0,0.0,0.0,0.0,33016.12424142858,41936.829885177074,893342.2314801369,975326.3416390797,40.5,53.033008588991066,40.5,53.033008588991066,0.2624434389140271,0.0447940947357994,351.98632233096,324.32196604749925,1.811420213555476,1.1867960944917875,0.0,0.0,0.0,0.0,0,-1,0,0.0
2,5558.435315072432,362505.7798310116,4,4,0.1538461538461538,136.67023790358002,1.3692484346683091,0.0,,none,0,0.0,23863.561265976532,33625.244645474144,716396.7475970951,754691.8902090752,28.333333333333332,43.015501081974314,28.333333333333332,43.015501081974314,0.22624434389140266,0.0702451343722173,280.2142941885,260.8563606690545,1.6640296205930871,0.877162724716397,0.0,0.0,0.0,0.0,23863.561265976532,33625.244645474144,716396.7475970951,754691.8902090752,28.333333333333332,43.015501081974314,28.333333333333332,43.015501081974314,0.22624434389140266,0.0702451343722173,280.2142941885,260.8563606690545,1.6640296205930871,0.877162724716397,0.0,0.0,0.0,0.0,23863.561265976532,33625.244645474144,716396.7475970951,754691.8902090752,28.333333333333332,43.015501081974314,28.333333333333332,43.015501081974314,0.22624434389140266,0.0702451343722173,280.2142941885,260.8563606690545,1.6640296205930871,0.877162724716397,0.0,0.0,0.0,0.0,0,-1,0,0.0
3,99039.3094854411,1475983.6598085323,227,227,0.1677631578947368,124.245187237188,5.4644259318712685,0.0,,none,0,0.0,35986.68408288892,54616.21482689818,680723.9336922733,693278.2583814729,78.0,129.0387538687506,78.0,129.0387538687506,0.2052423195999047,0.07728220120842574,127.85716199726268,7.673595041810039,2.6019676712647333,2.486896991872692,0.0,0.0,149.0,2.813814152014939,42657.49832084267,46546.96193166361,906293.4756499544,723843.6539743631,78.0,105.35970134100924,78.0,105.35970134100924,0.2116240473922362,0.06437855399283263,241.22201745067198,226.8162645148418,2.6141286984126326,2.0306885518091633,0.0,0.0,0.0,0.0,42657.49832084267,46546.96193166361,906293.4756499544,723843.6539743631,78.0,105.35970134100924,78.0,105.35970134100924,0.2116240473922362,0.06437855399283263,241.22201745067198,226.8162645148418,2.6141286984126326,2.0306885518091633,0.0,0.0,0.0,0.0,0,-1,0,0.0
4,9796.195147292376,397303.9246501428,5,5,0.131578947368421,145.65024103822,1.5529310799435745,0.0,,none,0,0.0,38131.31331593531,52790.41248311377,745264.4547632289,633060.5383272942,78.66666666666667,128.46140795325783,78.66666666666667,128.46140795325783,0.1510627530364372,0.018251979698208957,135.52188872632934,10.748633002895861,2.7955351488277174,2.313151170460967,0.0,0.0,2.0,0.580702432688952,36085.23768613262,42906.151051493805,804495.5654499921,666915.511256573,63.4,96.90871993788794,63.4,96.90871993788794,0.19561502738747316,0.06625626210571017,222.1076621681816,201.02488969198905,2.4018891747188205,1.821537831867754,0.0,0.0,0.0,0.0,36085.23768613262,42906.151051493805,804495.5654499921,666915.511256573,63.4,96.90871993788794,63.4,96.90871993788794,0.19561502738747316,0.06625626210571017,222.1076621681816,201.02488969198905,2.4018891747188205,1.821537831867754,0.0,0.0,0.0,0.0,0,-1,0,0.0
5,8916.94907761668,356262.2410591364,4,4,0.1770833333333333,283.18883096159004,1.5396858104909978,0.0,,none,0,0.0,39250.81790345006,51780.21883547926,743183.2751726038,634955.4376016633,78.66666666666667,128.46140795325783,78.66666666666667,128.46140795325783,0.1588084795321637,0.024037512016508198,184.361419745666,86.25362014308317,2.8523476074352803,2.26213587987812,0.0,0.0,0.0,0.1704373758226887,31557.189584713295,39947.08445050133,729790.0113848494,623944.3550291745,53.5,90.0061109036492,53.5,90.0061109036492,0.1925264117117832,0.05974237269584428,232.287856967083,181.52306524902713,2.2581886140141836,1.6668230755606142,0.0,0.0,0.0,0.0,31557.189584713295,39947.08445050133,729790.0113848494,623944.3550291745,53.5,90.0061109036492,53.5,90.0061109036492,0.1925264117117832,0.05974237269584428,232.287856967083,181.52306524902713,2.2581886140141836,1.6668230755606142,0.0,0.0,0.0,0.0,0,-1,0,0.0
6,23589.77075176144,554907.8329578674,83,83,0.2421875,137.74205320092,2.711318005594104,0.0,,none,0,0.0,14100.971658890165,8229.292167702844,436157.99955571553,104867.76028778042,30.666666666666668,45.32475409015839,30.666666666666668,45.32475409015839,0.18361659356725143,0.05559294555765387,188.86037506691,81.78647841986752,1.9346449653428923,0.6726511858909583,0.0,0.0,-144.0,-2.7531079262771643,25043.827870889538,36931.777524667224,558440.9666239944,463245.66389650694,54.333333333333336,90.30097821544717,54.333333333333336,90.30097821544717,0.19442945658357805,0.061364055404529466,158.35876853208634,61.770401056832256,2.268306318303813,1.6698629837738297,0.0,0.0,5.0,0.060706225737774844,30418.9868942916,36590.66139009087,704806.8430381378,573403.2112877681,57.714285714285715,82.91705551476183,57.714285714285715,82.91705551476183,0.19962085289581416,0.05767677391668756,218.78131357191685,169.51648793721318,2.3229213842398866,1.5312026727833177,0.0,0.0,0.0,0.0,0,-1,0,0.0
7,96364.73474861895,2660622.55543626,207,207,0.1666666666666666,72.84182838769999,5.593966292534947,0.0,,none,0,0.0,42957.15152599902,46830.549678934134,1190597.5431510878,1276947.5989065545,98.0,102.32790430767162,98.0,102.32790430767162,0.19531249999999997,0.040927691785160744,164.59090418340335,107.71309563959588,3.28165670287335,2.086447274431172,0.0,0.0,202.0,4.041035212591373,40544.232420967164,44709.70619089639,967930.9989571584,933831.2449795754,88.33333333333333,104.410088912263,88.33333333333333,104.410088912263,0.1731876265182186,0.03729204096060955,150.05639645486633,70.2891167348926,3.0385959258505335,1.9880811040163346,0.0,0.0,204.0,4.621737645280325,38662.20537608252,41124.36792105473,949283.807087903,871764.2759326139,76.375,93.16028813670708,76.375,93.16028813670708,0.1955015796171707,0.054654620230645136,200.53887792388974,165.2059665838197,2.731801997776769,1.8295103831316384,0.0,0.0,0.0,0.0,0,-1,0,0.0
8,50239.94218863684,864756.4777510023,78,78,0.2447552447552447,104.87843461253,2.9878412254373603,0.0,,none,0,0.0,56731.48256300574,36819.20583757916,1360095.6220483764,1136894.5747168048,122.66666666666667,73.07758434248723,122.66666666666667,73.07758434248723,0.21786980380730378,0.04436179964861882,105.15410540038333,32.45099060104454,3.764375174522138,1.5904933250761035,0.0,0.0,74.0,1.4481554149463625,47991.1502332279,41308.716798588765,1051639.4486104902,890198.4755224544,100.66666666666667,96.52909751296065,100.66666666666667,96.52909751296065,0.18833914166973376,0.045439855945449095,144.75776257302468,72.65838633804279,3.3083613909787086,1.818875858159471,0.0,0.0,74.0,1.6185927907690512,39948.62057747744,38661.42404162591,939891.8816060252,815947.429723012,76.55555555555556,87.14515349563496,76.55555555555556,87.14515349563496,0.20097420907695673,0.05369621618255422,189.90993977818312,157.79148869783725,2.760250800850168,1.7134770851414811,0.0,0.0,0.0,0.0,0,-1,0,0.0
9,13916.870278729117,620018.402129076,15,15,0.4166666666666667,142.779533198286,1.441092891215278,0.0,,none,0,0.0,53507.1824053283,41320.9236693289,1381799.145105446,1114233.4439076853,100.0,97.87236586493657,100.0,97.87236586493657,0.276029526029526,0.12790058835641518,106.83326539950532,35.0098080699887,3.3409668030625284,2.0988360171835554,0.0,0.0,-68.0,-1.2702251143788261,33804.077032109235,34291.556199813655,908978.5723305809,877084.1001380908,65.33333333333333,78.07346967226873,65.33333333333333,78.07346967226873,0.2298230597983887,0.10169414666026973,147.8468202332077,72.00291592348813,2.63780588420271,1.592592613111438,0.0,0.0,-212.0,-4.023333040655991,37345.44554760261,37368.33551531449,907904.5336583303,775904.4044180628,70.4,84.43564281615778,70.4,84.43564281615778,0.2225434548359277,0.08494258302168899,185.1968991201934,149.51193893085943,2.628335009886679,1.6684720089529899,0.0,0.0,0.0,0.0,0,-1,0,0.0
