,importance
byte_rate_ma12,0.08726741978592063
byte_rate_ma6,0.0730796780494119
syn_ack_ratio_ma6,0.047810698979454135
syn_ack_ratio_ma12,0.04770595701184509
avg_pkt_size_ma12,0.04719520425871313
byte_rate_ma3,0.041014559806895126
fwd_psh_rate_ma12,0.03269786994226881
syn_ack_ratio_ma3,0.0326021601267374
syn_ack_ratio_std12,0.0297186165546662
fwd_psh_rate_std12,0.02770459367092632
fwd_psh_rate_ma6,0.02670208973664182
avg_pkt_size_ma6,0.026537831311328607
byte_rate_std12,0.02610604881968956
dst_port_entropy_ma12,0.024265763507755236
avg_pkt_size_std12,0.021534873928018422
