day,window_id,packet_rate,byte_rate,unique_dst_ips,unique_dst_ports,syn_ack_ratio,avg_pkt_size,dst_port_entropy,failed_conn_rate,fwd_psh_rate,avg_flow_duration,label_attack_now,attack_fraction,attack_family,mitre,packet_rate_ma3,packet_rate_std3,byte_rate_ma3,byte_rate_std3,unique_dst_ips_ma3,unique_dst_ips_std3,unique_dst_ports_ma3,unique_dst_ports_std3,syn_ack_ratio_ma3,syn_ack_ratio_std3,avg_pkt_size_ma3,avg_pkt_size_std3,dst_port_entropy_ma3,dst_port_entropy_std3,failed_conn_rate_ma3,failed_conn_rate_std3,fwd_psh_rate_ma3,fwd_psh_rate_std3,avg_flow_duration_ma3,avg_flow_duration_std3,portcount_slope3,entropy_slope3,packet_rate_ma6,packet_rate_std6,byte_rate_ma6,byte_rate_std6,unique_dst_ips_ma6,unique_dst_ips_std6,unique_dst_ports_ma6,unique_dst_ports_std6,syn_ack_ratio_ma6,syn_ack_ratio_std6,avg_pkt_size_ma6,avg_pkt_size_std6,dst_port_entropy_ma6,dst_port_entropy_std6,failed_conn_rate_ma6,failed_conn_rate_std6,fwd_psh_rate_ma6,fwd_psh_rate_std6,avg_flow_duration_ma6,avg_flow_duration_std6,portcount_slope6,entropy_slope6,packet_rate_ma12,packet_rate_std12,byte_rate_ma12,byte_rate_std12,unique_dst_ips_ma12,unique_dst_ips_std12,unique_dst_ports_ma12,unique_dst_ports_std12,syn_ack_ratio_ma12,syn_ack_ratio_std12,avg_pkt_size_ma12,avg_pkt_size_std12,dst_port_entropy_ma12,dst_port_entropy_std12,failed_conn_rate_ma12,failed_conn_rate_std12,fwd_psh_rate_ma12,fwd_psh_rate_std12,avg_flow_duration_ma12,avg_flow_duration_std12,portcount_slope12,entropy_slope12,y_forecast,upcoming_attack_family,windows_to_attack,kill_chain_stage
monday,0,145583.18686718962,3747142.9868388535,51,51,0.256,161.93450832022282,3.8136406361152257,0.002,0.062,31268985.174,0,0.0,none,-,145583.18686718962,0.0,3747142.9868388535,0.0,51.0,0.0,51.0,0.0,0.256,0.0,161.93450832022282,0.0,3.8136406361152257,0.0,0.002,0.0,0.062,0.0,31268985.174,0.0,0.0,0.0,145583.18686718962,0.0,3747142.9868388535,0.0,51.0,0.0,51.0,0.0,0.256,0.0,161.93450832022282,0.0,3.8136406361152257,0.0,0.002,0.0,0.062,0.0,31268985.174,0.0,0.0,0.0,145583.18686718962,0.0,3747142.9868388535,0.0,51.0,0.0,51.0,0.0,0.256,0.0,161.93450832022282,0.0,3.8136406361152257,0.0,0.002,0.0,0.062,0.0,31268985.174,0.0,0.0,0.0,0,none,-1,-
monday,1,60334.99372931205,1417863.6667525568,87,87,0.2670454545454545,186.0774093561712,3.2977135371688373,0.0,0.092,17679112.086,0,0.0,none,-,102959.09029825084,60279.57545169374,2582503.326795705,1647049.2025106112,69.0,25.45584412271571,69.0,25.45584412271571,0.2615227272727273,0.0078103158103786,174.00595883819702,17.071609040034836,3.5556770866420315,0.3648155502628941,0.001,0.001414213562373,0.077,0.0212132034355964,24474048.63,9609491.415989367,0.0,0.0,102959.09029825084,60279.57545169374,2582503.326795705,1647049.2025106112,69.0,25.45584412271571,69.0,25.45584412271571,0.2615227272727273,0.0078103158103786,174.00595883819702,17.071609040034836,3.5556770866420315,0.3648155502628941,0.001,0.001414213562373,0.077,0.0212132034355964,24474048.63,9609491.415989367,0.0,0.0,102959.09029825084,60279.57545169374,2582503.326795705,1647049.2025106112,69.0,25.45584412271571,69.0,25.45584412271571,0.2615227272727273,0.0078103158103786,174.00595883819702,17.071609040034836,3.5556770866420315,0.3648155502628941,0.001,0.001414213562373,0.077,0.0212132034355964,24474048.63,9609491.415989367,0.0,0.0,0,none,-1,-
monday,2,65260.4071673762,1848337.224603081,101,101,0.2466666666666666,153.78552763294,3.720110787222935,0.0,0.072,19775172.224,0,0.0,none,-,90392.86258795927,47859.62646029445,2337781.292731497,1239375.7136619186,79.66666666666667,25.7940561628708,79.66666666666667,25.7940561628708,0.256570707070707,0.0102013738669148,167.26581510311135,16.793109608310896,3.610488320169,0.2748781672287788,0.0006666666666666,0.0011547005383792,0.0753333333333333,0.0152752523165194,22907756.494666666,7316486.574620897,0.0,0.0,90392.86258795927,47859.62646029445,2337781.292731497,1239375.7136619186,79.66666666666667,25.7940561628708,79.66666666666667,25.7940561628708,0.256570707070707,0.0102013738669148,167.26581510311135,16.793109608310896,3.610488320169,0.2748781672287788,0.0006666666666666,0.0011547005383792,0.0753333333333333,0.0152752523165194,22907756.494666666,7316486.574620897,0.0,0.0,90392.86258795927,47859.62646029445,2337781.292731497,1239375.7136619186,79.66666666666667,25.7940561628708,79.66666666666667,25.7940561628708,0.256570707070707,0.0102013738669148,167.26581510311135,16.793109608310896,3.610488320169,0.2748781672287788,0.0006666666666666,0.0011547005383792,0.0753333333333333,0.0152752523165194,22907756.494666666,7316486.574620897,0.0,0.0,0,none,-1,-
monday,3,74224.76233654786,1634219.8750304284,82,82,0.2727272727272727,150.0283575140048,3.43028859431578,0.0,0.07,49279276.65,0,0.0,none,-,66606.72107774537,7042.076316653939,1633473.5887953555,215237.74926689864,90.0,9.848857801796091,90.0,9.848857801796091,0.2621464646464646,0.0137036080498651,163.29709816770534,19.817568347508303,3.482704306235851,0.2160217913900861,0.0,0.0,0.078,0.0121655250605964,28911186.98666667,17670389.764397323,31.0,-0.3833520417994456,86350.83752510644,39904.65005962171,2161890.93830623,1071347.021368914,80.25,21.09304782781916,80.25,21.09304782781916,0.2606098484848484,0.0116033331117447,162.9564507058347,16.19531330082536,3.565438388705694,0.2418470381158902,0.0005,0.001,0.074,0.0127540843131393,29500636.5335,14475896.726059033,0.0,0.0,86350.83752510644,39904.65005962171,2161890.93830623,1071347.021368914,80.25,21.09304782781916,80.25,21.09304782781916,0.2606098484848484,0.0116033331117447,162.9564507058347,16.19531330082536,3.565438388705694,0.2418470381158902,0.0005,0.001,0.074,0.0127540843131393,29500636.5335,14475896.726059033,0.0,0.0,0,none,-1,-
monday,4,71975.37017622715,1392845.624265734,91,91,0.3377483443708609,188.498071476338,3.598969617613472,0.0,0.1,32353381.938,0,0.0,none,-,70486.8465600504,4663.871012013564,1625134.2412997475,227881.68212843497,91.33333333333331,9.504384952922155,91.33333333333331,9.504384952922155,0.2857140945882667,0.0469090733215822,164.10398554109426,21.209258668979864,3.583122999717396,0.1455594804519314,0.0,0.0,0.0806666666666666,0.0167729941672121,33802610.27066667,14805345.033643458,4.0,0.3012560804446345,83475.74405533058,35151.339015539495,2008081.875498131,989507.1849949156,82.4,18.88915032498815,82.4,18.88915032498815,0.2760375476620509,0.0359311496335402,168.06477485993537,18.088421932295788,3.5721446344872496,0.209981811227746,0.0004,0.0008944271909999,0.0792,0.0160374561573835,30071185.6144,12601242.82704782,0.0,0.0,83475.74405533058,35151.339015539495,2008081.875498131,989507.1849949156,82.4,18.88915032498815,82.4,18.88915032498815,0.2760375476620509,0.0359311496335402,168.06477485993537,18.088421932295788,3.5721446344872496,0.209981811227746,0.0004,0.0008944271909999,0.0792,0.0160374561573835,30071185.6144,12601242.82704782,0.0,0.0,0,none,-1,-
monday,5,67629.24585728162,1603306.7897054548,55,55,0.3246753246753247,188.5761279427886,3.130885144905076,0.0,0.098,30299435.656,0,0.0,none,-,71276.45945668554,3352.8445464240644,1543457.4296672058,131346.26624230688,76.0,18.734993995195182,76.0,18.734993995195182,0.3117169805911527,0.0343929346010631,175.7008523110438,22.233066928136235,3.3867144522781096,0.237064965333163,0.0,0.0,0.0893333333333333,0.0167729941672121,37310698.08133333,10415845.07124101,-46.0,-0.5892256423178588,80834.66102232241,32098.99103074383,1940619.3611993515,900337.00375933,77.83333333333333,20.26244473568445,77.83333333333333,20.26244473568445,0.2841438438309299,0.0377771126034769,171.48333370707758,18.217356392980093,3.498601386223554,0.2602413207548741,0.0003333333333333,0.0008164965809277,0.0823333333333333,0.0162685791225499,30109227.288,11271279.414625522,0.0,0.0,80834.66102232241,32098.99103074383,1940619.3611993515,900337.00375933,77.83333333333333,20.26244473568445,77.83333333333333,20.26244473568445,0.2841438438309299,0.0377771126034769,171.48333370707758,18.217356392980093,3.498601386223554,0.2602413207548741,0.0003333333333333,0.0008164965809277,0.0823333333333333,0.0162685791225499,30109227.288,11271279.414625522,0.0,0.0,0,none,-1,-
monday,6,77359.19890309118,2304301.513085712,83,83,0.2483660130718954,150.59756685585302,3.236200129197861,0.0,0.074,11708892.404,0,0.0,none,-,72321.27164553331,4874.190439269448,1766817.9756856335,477221.0077853208,76.33333333333333,18.903262505010428,76.33333333333333,18.903262505010428,0.303596560706027,0.0482756253710351,175.89058875832652,21.904434275329805,3.322018297238804,0.2455592329196807,0.0,0.0,0.0906666666666666,0.0144683562761404,24787236.666,11372642.186795318,1.0,-0.1940884651179186,69463.99636163934,6255.897615265125,1700145.7822404944,339059.1235271368,83.16666666666667,15.419684389333865,83.16666666666667,15.419684389333865,0.2828715126762458,0.0390225971768106,169.59384346301593,19.91469065863142,3.402361301737327,0.2247930126521134,0.0,0.0,0.0843333333333333,0.0138226866660091,26849211.826333333,13480873.701954031,32.0,-0.5774405069173643,80338.16643386081,29331.66495662573,1992573.9543259745,833307.0013570092,78.57142857142857,18.599795185764304,78.57142857142857,18.599795185764304,0.2790327251510678,0.0370421823015858,168.4996527283312,18.408599265141657,3.4611154923627407,0.2574379534179258,0.0002857142857142,0.0007559289460184,0.0811428571428571,0.0151814423055317,27480608.018857144,12419162.258524718,0.0,0.0,0,none,-1,-
monday,7,83455.54098290965,1963888.997154124,85,85,0.3825503355704698,172.24438507301517,2.977197715661071,0.0,0.112,10621861.258,0,0.0,none,-,76147.99524776082,7982.365881860067,1957165.7666484304,350545.7201608158,74.33333333333333,16.772994167212158,74.33333333333333,16.772994167212158,0.3185305577725633,0.0673028730539589,170.47269329055226,19.051166483645027,3.114760996588003,0.1302518854899401,0.0,0.0,0.0946666666666666,0.019218047073866,17543396.43933333,11060416.427555827,-6.0,-0.6217719019524006,73317.4209039056,6618.347565272142,1791150.0039740887,320933.67747357377,82.83333333333333,15.341664403403774,82.83333333333333,15.341664403403774,0.302122326180415,0.0549102106102374,167.28833941582323,18.365183652485065,3.3489419981527,0.2847281795008377,0.0,0.0,0.0876666666666666,0.0178624373103635,25673003.355,14694251.650573349,-2.0,-0.3205158215077661,80727.83825249191,27178.20210030628,1988988.334679493,771559.0269508706,79.375,17.36941071457027,79.375,17.36941071457027,0.2919724264534931,0.0501556838063226,168.9677442714167,17.094398849661257,3.4006257702750324,0.2933915379882956,0.00025,0.0007071067811865,0.085,0.0177924542593603,25373264.67375,12951027.10639894,0.0,0.0,0,none,-1,-
monday,8,97480.71561005186,1381240.1019971606,100,100,0.1705882352941176,162.3696321421734,3.372236363318271,0.0,0.056,27912910.738,0,0.0,none,-,86098.4851653509,10317.835243438907,1883143.537412332,466798.0978023384,89.33333333333333,9.29157324317756,89.33333333333333,9.29157324317756,0.2671681946454943,0.1072246450790839,161.7371946903472,10.837258305474244,3.1952114027257346,0.2006836815963445,0.0,0.0,0.0806666666666666,0.0285890421898554,16747888.133333337,9684456.954322817,45.0,0.2413512184131949,78687.47231101822,10629.555498598966,1713300.4835397692,358715.65040513733,82.66666666666667,15.108496505829642,82.66666666666667,15.108496505829642,0.2894425876183235,0.0752819877785718,168.7190235006955,17.4125613649639,3.290962927501921,0.2226915367393837,0.0,0.0,0.085,0.0214941852602046,27029293.10733333,14413887.744344387,-1.0,-0.3478744239046638,82589.26906999858,26028.967669209007,1921460.753270345,749620.0262929377,81.66666666666667,17.642278764377348,81.66666666666667,17.642278764377348,0.2784852941024514,0.0619537585002757,168.23462070150077,16.140891999709435,3.397471391724281,0.2746057559103929,0.0002222222222222,0.0006666666666666,0.0817777777777777,0.0192469333776694,25655447.569777776,12144118.325475125,0.0,0.0,0,none,-1,-
monday,9,68072.44148748687,1347206.7045483608,75,75,0.296,164.35222458792938,3.04565032135332,0.0,0.072,35490284.738,0,0.0,none,-,83002.89936014946,14709.36130652766,1564111.9345665483,346635.02832783526,86.66666666666667,12.583057392117912,86.66666666666667,12.583057392117912,0.2830461902881958,0.1065731386322454,166.32208060103932,5.223785590506311,3.1316948001108877,0.2111080825766839,0.0,0.0,0.08,0.0288444102037119,24675018.911333334,12746473.206579529,-8.0,-0.1905498078445413,77662.08550284138,11413.954975546054,1665464.955126091,389211.01601321896,81.5,15.436968614336168,81.5,15.436968614336168,0.2933213754971114,0.0748467986653401,171.10633467968293,15.175762756248892,3.2268565486748453,0.2298114310216576,0.0,0.0,0.0853333333333333,0.0212289111041208,24731127.788666666,10804055.056010654,-7.0,-0.38463827296246,81137.58631174741,24966.0251767881,1864035.3483981467,729705.6036346004,81.0,16.766368453279053,81.0,16.766368453279053,0.2802367646922062,0.0586725697493146,167.84638109014364,15.267222901055709,3.362289284687185,0.2817932316106613,0.0002,0.0006324555320336,0.0808,0.0184077278457838,26638931.2866,11864459.060282271,0.0,0.0,0,none,-1,-
